t       x(t)         y(t)
0.00    0.000000     0.000000
4.00    0.951057     0.587785
8.00    0.587785    -0.951057
12.00  -0.587785    -0.587785
16.00  -0.951057     0.951057
20.00  -0.587785     0.587785
24.00   0.587785    -0.587785
28.00   0.951057    -0.951057
32.00   0.587785     0.587785
36.00  -0.587785     0.587785
40.00  -0.951057    -0.951057
44.00  -0.587785    -0.587785
48.00   0.587785     0.587785
52.00   0.951057     0.951057
56.00   0.587785    -0.587785
60.00  -0.587785    -0.951057
64.00  -0.951057     0.587785
68.00  -0.587785     0.587785
72.00   0.587785    -0.587785
76.00   0.951057    -0.951057
80.00   0.587785     0.587785
84.00  -0.587785     0.587785
88.00  -0.951057    -0.951057
92.00  -0.587785    -0.587785
96.00   0.587785     0.587785
100.00  0.951057     0.951057
